Mach Number,Reynolds Number,Angle of Attack,CL,CD,CM
0.25,125000.0,-20.0,-0.3581,0.20375,-0.0164
0.25,125000.0,-19.0,-0.3435,0.19542,-0.0212
0.25,125000.0,-18.0,-0.3284,0.18738,-0.0255
0.25,125000.0,-17.0,-0.3142,0.17967,-0.0293
0.25,125000.0,-16.0,-0.3029,0.17262,-0.0326
0.25,125000.0,-15.0,-0.2922,0.16541,-0.0349
0.25,125000.0,-14.0,-0.288,0.15636,-0.0372
0.25,125000.0,-12.0,-0.2852,0.13431,-0.0408
0.25,125000.0,-11.0,-0.3441,0.12056,-0.0415
0.25,125000.0,-10.0,-0.3393,0.10845,-0.0415
0.25,125000.0,-9.0,-0.3984,0.0963,-0.0415
